CODIGO;DESCRICAO;MARCA;LINHA;EMBAL;
7898586612556;BASTAO SANITARIO AROMASIL 28G FLORAL;AROMASIL;LIMPEZA;12;
7898586612488;BASTAO SANITARIO AROMASIL 28G LAVANDA;AROMASIL;LIMPEZA;12;
7898586612549;BASTAO SANITARIO AROMASIL 28G MARINE;AROMASIL;LIMPEZA;12;
7898586612297;DESUMIDIFICADOR EVITA MOFO AROMASIL 25G;AROMASIL;LIMPEZA;72;
7898586612648;DESUMIDIFICADOR EVITA MOFO AROMASIL 80G BABY;AROMASIL;LIMPEZA;12;
7898586612631;DESUMIDIFICADOR EVITA MOFO AROMASIL 80G LAVANDA;AROMASIL;LIMPEZA;12;
7898586612655;DESUMIDIFICADOR EVITA MOFO AROMASIL 80G NEUTRO;AROMASIL;LIMPEZA;12;
7898586615199;LIMPA CERAMICA AROMASIL 1L;AROMASIL;LIMPEZA;12;
7898586615649;LIMPA PORCELANATO AROMASIL 1L;AROMASIL;LIMPEZA;12;
7898586618626;LIMPADOR PERFUMADO AROMASIL 1L CHA BRANCO;AROMASIL;LIMPEZA;12;
7898586610408;LIMPADOR PERFUMADO AROMASIL 1L FLOR DE JABUTICABA;AROMASIL;LIMPEZA;12;
7898586616547;LIMPADOR PERFUMADO AROMASIL 1L FLORES DE CEREJA E AVELA;AROMASIL;LIMPEZA;12;
7898586610422;LIMPADOR PERFUMADO AROMASIL 1L FLORES DE LAVANDA;AROMASIL;LIMPEZA;12;
7898586612303;NAFTALINA AROMASIL 25G;AROMASIL;LIMPEZA;144;
7898586612198;PEDRA SANITARIA AROMASIL 25G;AROMASIL;LIMPEZA;144;
7898586612204;PEDRA SANITARIA AROMASIL 25G - CAIXINHA C/ 3UN;AROMASIL;LIMPEZA;48;
7791293025780;DES AERO AXE 150ML  BODY APOLLO;AXE;HIGIENE E BELEZA;12;
7791293025797;DES AERO AXE 150ML DARK TEMPETATION;AXE;HIGIENE E BELEZA;12;
7791293028781;DES AERO AXE 150ML MEN BODY BLACK;AXE;HIGIENE E BELEZA;12;
7891150080966;DES AERO AXE 152ML MARINE;AXE;HIGIENE E BELEZA;12;
7891150080973;DES AERO AXE 152ML MUSK;AXE;HIGIENE E BELEZA;12;
7506306233362;DES AERO AXE 152ML SECO URBAN;AXE;HIGIENE E BELEZA;12;
